y1,h1,y2,h2,snr_db,b1,b2
1.238692954532839563e+00,2.083685709420431298e+00,1.599242432072597753e+00,1.175408057873879697e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.162871306870353783e+00,-2.097422734884394346e-01,-1.301652945261257521e+00,6.465043269468260245e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.097730299912942353e+00,5.187439518891854284e-01,7.547900070613984269e-01,4.139847799446164656e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-2.205726880142368507e-01,-6.059048541307900937e-01,-9.179890746041804439e-01,-1.581759912516152167e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.425929836593925693e-01,1.468529059387880253e-01,-1.058386144507696969e-01,-9.824333927936014232e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.666131346219208220e+00,-2.301196206280893719e+00,4.078110412051740852e+00,1.931851654741878477e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.686240412209560113e-01,-1.308195942378829413e+00,-3.680838026969595611e-01,-5.794123672100010003e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.383393788399396307e-01,-2.477868814809468745e+00,-2.375548459668306300e-01,-2.712474625106153781e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.491693111970730845e-01,9.851861704254083474e-01,3.094856862232832628e-01,-1.255454226227257497e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.237342770720385232e-01,-1.390916772614796182e+00,-8.399066515220640072e-01,-1.717782399003068283e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.802666335539912401e-01,-1.559447567169895521e+00,9.442407216298090988e-01,5.635605269548845664e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-7.270011436789778347e-01,1.129106077347152848e+00,-4.078510319940491513e-01,-7.845416369548677826e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.297467353846008531e-01,-4.886435037623378386e-01,9.096745570213254917e-03,-3.732138481221610599e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.590484444405385167e-01,-1.626215549924195369e-01,-1.614395525441976620e+00,9.615151138922370944e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.792173266622626659e-01,1.080059069873894106e+00,1.974522303878180729e+00,-1.081616727182250326e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.258044235155489687e-01,4.981188996732789920e-01,-6.466617164604280266e-01,-4.008409720293228812e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.899785993662505112e-01,3.215955649239330416e-01,-1.949239213917241198e+00,-1.271200109878794615e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-2.243011791726797988e+00,6.650024040964035432e-01,1.791225774977965646e+00,-1.541882343180446258e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.825451559916678512e+00,-1.938050935297296329e+00,1.776224361913336935e-01,2.259597964053805530e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-6.155854500278523656e-01,1.305630420453747220e+00,7.679748275775279964e-01,-8.487315577891328955e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.825621557678927864e+00,1.342332009925997216e+00,1.654928124216023644e+00,1.887253153672491912e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.663761352852913156e-01,1.863283032242119441e+00,-9.907109784368262062e-01,-1.432737082280849839e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-3.279348119769168068e+00,-2.082046217070745442e+00,1.147417128070504555e+00,1.162655692525949025e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.023347858203417671e-01,-8.350973159269001744e-01,-2.642029385314441647e-01,-1.685795628889817377e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.811902525484780702e-01,-5.463953820640591319e-01,-1.019449573111262386e-01,3.078190629131192235e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.917503085242631578e+00,1.724456063311714082e+00,-1.323382194422411784e+00,-9.971755758837193007e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.648520280869731680e-02,5.848988489431852233e-01,3.214004087384517150e-01,5.963932070947233210e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.888104898240078766e-01,1.794944131962943779e+00,9.824816837113861112e-01,4.162575551408194685e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.363511603782921577e-01,4.730421741326664153e-01,2.611222868594952118e+00,-1.654584939143692646e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.733380254921235430e-01,-6.190403341349496324e-01,2.290643292957252330e-01,-1.796795584871838658e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.161873382083888684e-01,-1.276710795497270068e+00,2.734012340952115538e-01,-2.433796561629344990e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.292173763050339375e+00,-5.473254075953446485e-01,-2.296403213890509942e-01,8.375432128656721265e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.279369638327914505e+00,1.423888200339330723e+00,-1.980812513237754979e+00,-1.240155666588115935e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-3.389618091600379857e-01,-8.277477495131296825e-01,-2.177845210810911980e-01,7.296519795577488532e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-2.111529807087024757e+00,-1.756075969476197374e+00,9.473789823066256499e-01,3.190693400910579736e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.007459494058692506e-01,3.070186799614260109e-01,6.821127202360166564e-02,1.521130607992306816e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.023852664763170717e-01,1.398193381162304183e+00,-9.953438846463635858e-02,-1.344279710656623994e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.964648617746921566e+00,2.463404083192221261e+00,1.619375436937553481e+00,9.629998188217301358e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.770304119444027879e+00,1.278190863880213968e+00,1.609263067758950561e+00,-2.709813910719119701e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-7.244700851767907901e-01,9.974411798484930092e-01,2.796507693748599976e+00,-1.320165036230537048e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.044338875904737840e+00,-1.760850624808531384e+00,-8.705193104011631489e-01,-3.381793048771385424e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-8.500638707492256252e-01,-3.510681144973971102e-01,-2.098367193961643729e+00,-1.178467786725307276e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-2.627322709569501757e-01,-3.517947554042178959e-01,1.065497012783261033e+00,7.329250507982262297e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.002473987332575200e+00,1.623736768044538870e-01,-3.291384687471501924e-01,-5.261149768402052507e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
